Sample ID	shannon
#q2:types	numeric
C133	1.68104590078858
C134	1.00061940699135
C135	2.2297224094542
C136	2.48433915080731
C137	2.58685153474742
C139	0.387300771468324
C140	2.16729961815862
C141	3.02076331937852
C142	3.70408544231413
C143	1.13032887154982
C144	3.60895915000978
C145	3.34726871463179
C146	2.42325270111977
C147	2.09249270562023
C148	2.21271936715463
C149	2.00149505682136
C150	2.36801313223493
C151	1.55496557921223
C154	0.991564515739339
C155	2.0538552861797
C156	2.69090439582849
C157	2.30324537878794
C158	2.11965937732315
C159	2.07895308897229
C161	2.91593254273721
C162	2.58519304964187
C163	1.79484827590714
C164	2.50783373665195
C166	0.958396460252924
C167	1.43507272219334
C168	1.43653773771213
C170	2.0668090708455
C171	2.14359554142511
C172	0.964134066993698
C173	2.47251391523675
C174	2.77959713909028
C175	2.81050894898633
C176	3.03933959705067
C177	2.40538899727554
C179	3.16994643770083
C180	3.05994437981926
C183	1.73916956404911
C184	1.93786425712941
C185	1.7994270123543
C186	0.0104520291893737
C187	1.92117918972057
C188	2.30827418869266
C189	1.03878810793497
C190	0.888465266299309
C191	1.20697014607885
C192	3.66391204917522
C193	2.78925560327677
C194	3.07921134003549
C195	1.81280335265026
C196	0.0424024694131293
C197	1.05074982072886
C198	2.34900200908557
C199	0.538316312549138
C200	1.67828223296318
C201	2.0556034051693
C202	0.0143824771076229
C204	3.0731115621002
C205	2.24389400731536
C206	1.51152277965689
C207	2.73002119760533
C208	1.61215614787641
C209	3.29045627684548
C210	2.66463541011834
C211	1.14643855424736
C213	1.73811917621386
C214	2.78021117212578
C215	1.70058516455174
C216	2.16358723736648
C217	1.00117268717633
C218	2.90394901449673
C219	0.783536519675903
C220	0.771248704118054
C221	2.08422491550652
C222	2.55899253103146
C223	1.59810384225035
C224	0.0344202135398915
C225	1.51930135382415
C226	2.33258059142832
C227	1.96804044892856
C228	2.28578162271097
C229	2.51406904067479
C230	2.62459946919289
C231	3.88243286812949
C232	2.66977258206653
C233	0.00179177994119626
C234	1.92943145982301
C235	2.22468406626796
C236	2.00712743926429
C237	3.1884489996467
C238	2.24380162194338
C239	0.984534811112908
C240	1.00221575505331
C241	2.48493165774788
C242	3.26877549050414
C243	1.34185416046928
C245	0.370489427100118
C246	2.30077742323704
C247	3.86589428326045
C248	1.60414750612455
C249	2.77894177959522
C250	2.5331333414117
C251	0.00205050042932999
C252	1.08196233814114
C253	1.8788679274364
C255	3.15754378753592
C256	0.96390106834782
C257	2.5007117826606
C259	2.10240868877439
C260	3.56913384138023
C261	1.3633261545447
C262	2.94043100651042
E001	3.68935823588137
E002	4.05660341119972
E003	4.13566641537554
E004	4.20665983768507
E005	4.22976081596898
E006	3.80994494167498
E007	4.07631161983318
E008	3.83567299655079
E009	3.5852804066748
E010	2.47103876907268
E011	3.82895629480194
E012	3.65291968753746
E013	2.17994843118656
E014	2.30586141679167
E015	2.39756175953803
E016	3.38057161008785
E017	2.91466656546729
E018	3.21038647967006
E019	2.09976565709385
E020	1.52202890689573
E021	1.83799577594978
E022	3.51531386540175
E023	2.64647071000683
E024	2.52119469696464
E025	3.08589361648962
